state,year,candidate,party,votes
Punjab,2014,Ramesh Gowda,BJP,475543
Delhi,2014,Vinod Joshi,Independent,117406
Karnataka,2014,Sonal Tiwari,Independent,497602
Tripura,2024,Deepak Chawla,SP,353641
Uttarakhand,2019,Neha Kulkarni,AITC,185968
Himachal Pradesh,2024,Anita Menon,Independent,156087
Bihar,2019,Pooja Desai,BJP,487944
Arunachal Pradesh,2014,Meena Chopra,Independent,103030
Jharkhand,2014,Vikram Gupta,INC,517797
Goa,2014,Kiran Rao,BJP,369501
Tripura,2024,Rajiv Das,BJP,394995
Delhi,2024,Simran Kaur,Independent,569345
Uttar Pradesh,2019,Pooja Desai,AITC,193954
Haryana,2019,Suresh Patel,Independent,529288
Haryana,2014,Amit Sharma,INC,111137
Madhya Pradesh,2019,Rajiv Das,SP,357970
Gujarat,2024,Alok Verma,BJP,521670
Haryana,2014,Vinod Joshi,SP,592991
Andhra Pradesh,2014,Manoj Singh,INC,59304
Manipur,2019,Alok Verma,SP,139190
Madhya Pradesh,2014,Alok Verma,Independent,500727
Jharkhand,2024,Rajiv Das,BJP,309477
Madhya Pradesh,2024,Deepak Chawla,Independent,495315
Mizoram,2024,Rajiv Das,AITC,258710
Chhattisgarh,2024,Vikram Gupta,AITC,517152
Bihar,2024,Karthik Reddy,INC,372677
Jharkhand,2024,Sonal Tiwari,INC,141921
Nagaland,2014,Pooja Desai,AITC,230471
Chhattisgarh,2019,Rajiv Das,SP,109631
Maharashtra,2024,Suresh Patel,SP,258598
Telangana,2019,Rajesh Nair,INC,691132
Maharashtra,2014,Vikram Gupta,SP,685644
Delhi,2019,Anita Menon,Independent,225861
Arunachal Pradesh,2024,Rajesh Nair,SP,596595
Punjab,2024,Pallavi Sharma,AITC,482970
Uttar Pradesh,2014,Pooja Desai,Independent,63032
Odisha,2024,Rajesh Nair,AITC,411962
Himachal Pradesh,2019,Simran Kaur,INC,350548
Sikkim,2014,Prakash Yadav,AITC,115721
Andhra Pradesh,2019,Alok Verma,SP,206866
Tamil Nadu,2014,Rajiv Das,Independent,578215
Sikkim,2014,Alok Verma,Independent,115902
Uttarakhand,2019,Rajesh Nair,AITC,570358
West Bengal,2019,Manoj Singh,AITC,51542
Jharkhand,2014,Kiran Rao,INC,642051
West Bengal,2019,Sonal Tiwari,BJP,476641
Maharashtra,2024,Amit Sharma,INC,581383
Mizoram,2014,Suresh Patel,BJP,55584
Rajasthan,2014,Deepak Chawla,BJP,376076
Uttarakhand,2014,Kiran Rao,SP,331639
Nagaland,2019,Alok Verma,AITC,150149
Maharashtra,2024,Karthik Reddy,BJP,425860
Meghalaya,2019,Manoj Singh,SP,662667
Madhya Pradesh,2014,Neha Kulkarni,SP,143928
Tripura,2019,Anita Menon,BJP,162830
Jharkhand,2024,Prakash Yadav,Independent,663378
Madhya Pradesh,2024,Simran Kaur,SP,679649
Jharkhand,2024,Meena Chopra,AITC,654727
Telangana,2024,Amit Sharma,AITC,198296
Uttar Pradesh,2014,Kiran Rao,AITC,570835
Karnataka,2024,Meena Chopra,INC,386218
Uttar Pradesh,2024,Alok Verma,BJP,88348
Madhya Pradesh,2014,Pallavi Sharma,INC,619835
Punjab,2024,Manoj Singh,BJP,155318
Chhattisgarh,2024,Manoj Singh,AITC,210488
Jharkhand,2019,Sonal Tiwari,SP,165547
Arunachal Pradesh,2014,Vikram Gupta,SP,277720
Jharkhand,2024,Ramesh Gowda,Independent,369571
Haryana,2014,Vinod Joshi,AITC,455100
Maharashtra,2024,Meena Chopra,SP,506622
Haryana,2019,Ramesh Gowda,AITC,295738
Rajasthan,2014,Kiran Rao,BJP,274639
Kerala,2019,Vinod Joshi,SP,185696
Sikkim,2024,Rajesh Nair,BJP,442711
Himachal Pradesh,2019,Meena Chopra,AITC,487994
Madhya Pradesh,2024,Prakash Yadav,BJP,611473
Manipur,2019,Ramesh Gowda,Independent,503827
Bihar,2024,Pallavi Sharma,BJP,549568
Punjab,2014,Suresh Patel,BJP,578156
Haryana,2019,Rajiv Das,AITC,412034
Arunachal Pradesh,2024,Neha Kulkarni,AITC,525102
Goa,2019,Deepak Chawla,BJP,641018
Tamil Nadu,2024,Simran Kaur,INC,179110
Manipur,2024,Prakash Yadav,INC,52441
Uttarakhand,2014,Deepak Chawla,Independent,95151
Karnataka,2024,Karthik Reddy,INC,74987
Assam,2024,Kiran Rao,BJP,230105
West Bengal,2014,Manoj Singh,Independent,344124
Chhattisgarh,2024,Alok Verma,AITC,620355
Assam,2024,Alok Verma,AITC,514124
Arunachal Pradesh,2014,Ramesh Gowda,Independent,241201
Nagaland,2024,Prakash Yadav,AITC,180385
Tamil Nadu,2019,Simran Kaur,INC,614899
Odisha,2014,Vinod Joshi,AITC,282580
Assam,2024,Vikram Gupta,INC,412099
Manipur,2014,Vinod Joshi,SP,690939
Jharkhand,2014,Vinod Joshi,INC,481719
Chhattisgarh,2019,Anita Menon,Independent,447264
Bihar,2024,Manoj Singh,SP,695901
Haryana,2019,Rajesh Nair,SP,415051
Jharkhand,2019,Simran Kaur,Independent,634050
Maharashtra,2019,Meena Chopra,INC,137557
Meghalaya,2014,Vikram Gupta,INC,493511
Nagaland,2024,Kiran Rao,BJP,626327
Meghalaya,2014,Amit Sharma,Independent,610637
Odisha,2014,Neha Kulkarni,SP,307600
Chhattisgarh,2014,Ramesh Gowda,SP,188910
Chhattisgarh,2019,Karthik Reddy,Independent,120466
Uttar Pradesh,2014,Ramesh Gowda,SP,172731
Arunachal Pradesh,2014,Simran Kaur,Independent,495498
Meghalaya,2024,Manoj Singh,AITC,351263
Kerala,2024,Simran Kaur,SP,145406
Tripura,2024,Manoj Singh,SP,489267
Manipur,2014,Rajiv Das,Independent,372329
Kerala,2019,Kiran Rao,SP,672969
Himachal Pradesh,2019,Karthik Reddy,AITC,115418
Telangana,2024,Amit Sharma,Independent,92229
Chhattisgarh,2024,Pooja Desai,SP,140176
Haryana,2019,Amit Sharma,BJP,516465
Rajasthan,2014,Kiran Rao,SP,635878
Uttar Pradesh,2024,Neha Kulkarni,AITC,221087
West Bengal,2024,Ramesh Gowda,INC,656167
Telangana,2019,Alok Verma,INC,191702
Uttarakhand,2019,Kiran Rao,INC,381130
Tamil Nadu,2014,Ramesh Gowda,SP,619384
Gujarat,2014,Alok Verma,AITC,144130
Maharashtra,2014,Rajesh Nair,AITC,119752
Assam,2019,Anita Menon,Independent,201820
Madhya Pradesh,2024,Neha Kulkarni,INC,174997
Nagaland,2014,Rajesh Nair,SP,337867
Uttarakhand,2019,Rajiv Das,SP,458913
Delhi,2024,Meena Chopra,BJP,344295
Karnataka,2019,Kiran Rao,INC,161760
Karnataka,2014,Vikram Gupta,BJP,129188
Karnataka,2014,Deepak Chawla,BJP,318100
Himachal Pradesh,2019,Anita Menon,INC,346733
Madhya Pradesh,2019,Manoj Singh,INC,253446
Uttarakhand,2019,Vikram Gupta,SP,303575
Telangana,2014,Pallavi Sharma,INC,209405
Tamil Nadu,2024,Alok Verma,INC,374195
Tamil Nadu,2014,Sonal Tiwari,BJP,256529
Maharashtra,2014,Simran Kaur,Independent,269941
Tamil Nadu,2014,Suresh Patel,AITC,426673
Tamil Nadu,2019,Vinod Joshi,BJP,132712
Uttarakhand,2019,Neha Kulkarni,Independent,117170
Himachal Pradesh,2024,Deepak Chawla,SP,342579
Andhra Pradesh,2024,Simran Kaur,Independent,540535
Gujarat,2024,Rajesh Nair,SP,600241
Punjab,2024,Sonal Tiwari,AITC,548431
Karnataka,2019,Alok Verma,AITC,339901
Karnataka,2024,Kiran Rao,AITC,514030
Bihar,2024,Sonal Tiwari,Independent,256858
Andhra Pradesh,2019,Karthik Reddy,AITC,601496
Goa,2014,Suresh Patel,INC,619179
Delhi,2024,Pooja Desai,SP,618456
Arunachal Pradesh,2014,Rajesh Nair,SP,57132
Uttar Pradesh,2019,Pooja Desai,BJP,380063
Punjab,2024,Pallavi Sharma,BJP,274636
Chhattisgarh,2024,Ramesh Gowda,Independent,238066
Goa,2014,Vinod Joshi,AITC,233463
Uttarakhand,2019,Rajiv Das,BJP,573293
Uttarakhand,2014,Pallavi Sharma,INC,445988
Punjab,2019,Amit Sharma,AITC,221248
Haryana,2024,Deepak Chawla,BJP,420920
Jharkhand,2024,Kiran Rao,SP,573333
Nagaland,2014,Simran Kaur,INC,516166
Nagaland,2024,Vikram Gupta,SP,588678
Telangana,2019,Karthik Reddy,Independent,262108
Rajasthan,2024,Deepak Chawla,INC,543770
Maharashtra,2019,Alok Verma,INC,402729
Karnataka,2024,Rajiv Das,SP,75905
Maharashtra,2024,Deepak Chawla,BJP,266709
Odisha,2024,Vinod Joshi,INC,601744
Delhi,2019,Sonal Tiwari,INC,696665
Punjab,2024,Kiran Rao,SP,651996
Gujarat,2024,Suresh Patel,AITC,595074
Punjab,2024,Suresh Patel,SP,125592
Gujarat,2019,Anita Menon,BJP,189871
Sikkim,2024,Deepak Chawla,Independent,651015
West Bengal,2014,Vinod Joshi,Independent,665087
Bihar,2024,Prakash Yadav,SP,541062
Punjab,2024,Amit Sharma,SP,373807
Punjab,2024,Ramesh Gowda,AITC,267226
Meghalaya,2024,Vikram Gupta,SP,206910
Karnataka,2024,Anita Menon,INC,71538
Tripura,2014,Deepak Chawla,BJP,232132
Assam,2019,Vinod Joshi,Independent,522221
West Bengal,2024,Vinod Joshi,Independent,247189
Assam,2024,Rajiv Das,Independent,132760
Mizoram,2019,Rajiv Das,SP,427776
Uttarakhand,2019,Anita Menon,SP,582042
Meghalaya,2014,Neha Kulkarni,Independent,183778
Chhattisgarh,2019,Anita Menon,Independent,628079
Karnataka,2019,Neha Kulkarni,Independent,416233
Meghalaya,2019,Pallavi Sharma,INC,292818
Goa,2024,Vikram Gupta,SP,698610
Mizoram,2014,Manoj Singh,Independent,581010
Rajasthan,2014,Anita Menon,AITC,347152
Haryana,2019,Sonal Tiwari,BJP,353474
Bihar,2024,Prakash Yadav,SP,566574
Gujarat,2014,Rajesh Nair,Independent,149383
West Bengal,2014,Ramesh Gowda,SP,276581
Karnataka,2024,Kiran Rao,INC,612799
Rajasthan,2019,Rajiv Das,INC,597379
West Bengal,2019,Pallavi Sharma,Independent,214932
Uttar Pradesh,2014,Pooja Desai,AITC,608057
Kerala,2024,Sonal Tiwari,BJP,596963
Manipur,2019,Neha Kulkarni,BJP,439229
Telangana,2014,Vinod Joshi,BJP,625742
Jharkhand,2014,Rajiv Das,INC,418413
West Bengal,2024,Prakash Yadav,Independent,93274
Meghalaya,2014,Anita Menon,INC,186811
Madhya Pradesh,2024,Pallavi Sharma,SP,91965
Jharkhand,2014,Rajesh Nair,Independent,428932
Nagaland,2014,Meena Chopra,AITC,129193
Rajasthan,2014,Vikram Gupta,AITC,359005
Nagaland,2024,Ramesh Gowda,BJP,108057
Mizoram,2014,Alok Verma,BJP,285393
Chhattisgarh,2024,Rajesh Nair,SP,374089
Uttar Pradesh,2014,Suresh Patel,BJP,321967
Goa,2014,Sonal Tiwari,INC,132817
Uttar Pradesh,2019,Karthik Reddy,Independent,208001
Uttarakhand,2014,Deepak Chawla,AITC,410487
Odisha,2014,Rajiv Das,INC,513205
Haryana,2014,Kiran Rao,INC,320196
Jharkhand,2024,Karthik Reddy,AITC,602822
Haryana,2024,Deepak Chawla,INC,534096
Punjab,2019,Amit Sharma,AITC,232752
Madhya Pradesh,2024,Vinod Joshi,INC,337592
Goa,2019,Pooja Desai,BJP,292184
Tripura,2014,Ramesh Gowda,Independent,665736
Himachal Pradesh,2024,Ramesh Gowda,INC,165569
Uttar Pradesh,2024,Prakash Yadav,Independent,324569
Punjab,2019,Prakash Yadav,INC,363031
Tamil Nadu,2019,Neha Kulkarni,SP,603477
Delhi,2024,Suresh Patel,Independent,331033
Punjab,2014,Vinod Joshi,BJP,524082
Madhya Pradesh,2019,Manoj Singh,AITC,296583
Madhya Pradesh,2024,Ramesh Gowda,SP,159573
Delhi,2024,Prakash Yadav,SP,559617
Arunachal Pradesh,2019,Meena Chopra,INC,205687
Telangana,2019,Karthik Reddy,Independent,504121
Jharkhand,2014,Suresh Patel,INC,578892
Himachal Pradesh,2014,Karthik Reddy,INC,505224
Rajasthan,2014,Alok Verma,SP,574599
Gujarat,2014,Pallavi Sharma,AITC,171581
Madhya Pradesh,2019,Vikram Gupta,AITC,251592
Tripura,2014,Prakash Yadav,BJP,476886
Bihar,2019,Meena Chopra,INC,256773
Kerala,2019,Simran Kaur,BJP,587854
Mizoram,2024,Neha Kulkarni,SP,359305
Sikkim,2014,Anita Menon,AITC,160567
Madhya Pradesh,2024,Vinod Joshi,AITC,530210
Kerala,2014,Rajesh Nair,AITC,315849
Tamil Nadu,2014,Anita Menon,BJP,205302
Sikkim,2024,Pallavi Sharma,SP,455124
Gujarat,2014,Sonal Tiwari,Independent,126264
Meghalaya,2024,Rajiv Das,SP,489142
Nagaland,2014,Meena Chopra,AITC,204490
Arunachal Pradesh,2024,Neha Kulkarni,AITC,184896
Maharashtra,2014,Ramesh Gowda,INC,577025
Manipur,2019,Pallavi Sharma,AITC,357371
Bihar,2024,Pallavi Sharma,AITC,77875
Bihar,2019,Rajiv Das,Independent,75337
Tripura,2024,Rajesh Nair,BJP,502540
Uttarakhand,2014,Deepak Chawla,Independent,599243
Chhattisgarh,2019,Rajiv Das,AITC,460195
Andhra Pradesh,2024,Rajesh Nair,INC,484298
Delhi,2019,Vikram Gupta,AITC,630436
Mizoram,2024,Kiran Rao,Independent,298840
Chhattisgarh,2019,Manoj Singh,BJP,251593
Meghalaya,2014,Neha Kulkarni,AITC,346323
Gujarat,2014,Anita Menon,Independent,122903
Delhi,2024,Rajiv Das,SP,609156
Tripura,2019,Vikram Gupta,Independent,577635
Andhra Pradesh,2014,Vikram Gupta,AITC,207052
Rajasthan,2019,Karthik Reddy,BJP,633280
Himachal Pradesh,2024,Vikram Gupta,Independent,93811
Haryana,2024,Neha Kulkarni,BJP,323739
Tripura,2024,Pooja Desai,BJP,147370
West Bengal,2024,Deepak Chawla,AITC,618188
Jharkhand,2024,Pooja Desai,BJP,407555
Himachal Pradesh,2019,Vikram Gupta,INC,667359
Punjab,2019,Anita Menon,INC,594929
Andhra Pradesh,2024,Ramesh Gowda,Independent,491927
Tripura,2014,Vikram Gupta,SP,661198
Manipur,2024,Meena Chopra,INC,315310
Rajasthan,2014,Ramesh Gowda,INC,496967
Arunachal Pradesh,2024,Alok Verma,INC,303672
Uttarakhand,2019,Kiran Rao,BJP,189432
Gujarat,2024,Prakash Yadav,SP,82181
Sikkim,2014,Amit Sharma,BJP,54122
Bihar,2014,Vinod Joshi,BJP,205742
Tripura,2024,Prakash Yadav,INC,320751
Rajasthan,2019,Pooja Desai,SP,339617
Odisha,2014,Vinod Joshi,AITC,53037
Meghalaya,2024,Ramesh Gowda,Independent,573954
Delhi,2024,Amit Sharma,AITC,195509
Madhya Pradesh,2024,Meena Chopra,AITC,564658
Odisha,2014,Alok Verma,INC,136516
Sikkim,2024,Sonal Tiwari,Independent,158891
Mizoram,2014,Amit Sharma,INC,150565
Rajasthan,2014,Simran Kaur,AITC,178170
Punjab,2014,Vinod Joshi,INC,356558
Delhi,2019,Suresh Patel,SP,256339
Meghalaya,2019,Pooja Desai,SP,155608
Sikkim,2024,Vikram Gupta,BJP,509107
Chhattisgarh,2014,Anita Menon,SP,124218
West Bengal,2024,Meena Chopra,Independent,643882
Meghalaya,2019,Meena Chopra,INC,223631
Delhi,2014,Kiran Rao,BJP,397704
Andhra Pradesh,2014,Alok Verma,BJP,326560
Maharashtra,2014,Kiran Rao,Independent,615055
Delhi,2014,Alok Verma,AITC,259973
Delhi,2014,Amit Sharma,Independent,391991
Uttar Pradesh,2014,Anita Menon,INC,444315
Arunachal Pradesh,2019,Amit Sharma,BJP,545232
Meghalaya,2024,Pallavi Sharma,Independent,157005
Chhattisgarh,2019,Pallavi Sharma,BJP,545249
Nagaland,2024,Simran Kaur,SP,360073
Mizoram,2024,Vikram Gupta,INC,178528
Goa,2014,Rajiv Das,SP,654189
Telangana,2024,Amit Sharma,BJP,332524
Odisha,2024,Neha Kulkarni,BJP,529598
Bihar,2019,Simran Kaur,BJP,154706
Uttar Pradesh,2024,Amit Sharma,SP,491526
Andhra Pradesh,2014,Pallavi Sharma,INC,645375
Delhi,2024,Karthik Reddy,SP,292945
Arunachal Pradesh,2024,Meena Chopra,Independent,397309
Tripura,2024,Suresh Patel,Independent,201218
Telangana,2024,Kiran Rao,SP,264897
Madhya Pradesh,2019,Simran Kaur,BJP,538712
Meghalaya,2019,Ramesh Gowda,SP,321221
Assam,2019,Neha Kulkarni,INC,687895
Uttar Pradesh,2014,Amit Sharma,INC,392992
West Bengal,2019,Vikram Gupta,AITC,462907
Andhra Pradesh,2019,Vinod Joshi,BJP,102715
Tamil Nadu,2014,Suresh Patel,INC,275162
Manipur,2014,Kiran Rao,Independent,451403
Punjab,2024,Manoj Singh,INC,61035
Meghalaya,2014,Rajesh Nair,SP,56753
Kerala,2024,Kiran Rao,Independent,632284
Uttarakhand,2014,Rajiv Das,SP,387106
Punjab,2019,Meena Chopra,BJP,105183
Tamil Nadu,2024,Pallavi Sharma,Independent,50450
Goa,2014,Amit Sharma,AITC,597634
Himachal Pradesh,2014,Amit Sharma,Independent,542582
Rajasthan,2019,Pooja Desai,AITC,437159
Uttar Pradesh,2024,Vinod Joshi,AITC,493130
Meghalaya,2014,Suresh Patel,SP,235396
Manipur,2014,Pallavi Sharma,INC,452156
Sikkim,2014,Sonal Tiwari,AITC,400243
Himachal Pradesh,2014,Karthik Reddy,SP,297316
Madhya Pradesh,2019,Rajesh Nair,INC,481117
Gujarat,2014,Sonal Tiwari,SP,502166
Sikkim,2024,Meena Chopra,BJP,524308
Tripura,2019,Pooja Desai,INC,295935
Maharashtra,2014,Pooja Desai,INC,551727
Arunachal Pradesh,2019,Vikram Gupta,BJP,298943
Haryana,2024,Sonal Tiwari,Independent,372062
Punjab,2024,Rajiv Das,AITC,145168
West Bengal,2014,Pallavi Sharma,SP,535985
Uttar Pradesh,2019,Karthik Reddy,AITC,59065
Tripura,2024,Pooja Desai,AITC,189663
Madhya Pradesh,2019,Rajiv Das,AITC,71724
Meghalaya,2019,Sonal Tiwari,AITC,88138
Tamil Nadu,2019,Vikram Gupta,SP,626700
Madhya Pradesh,2019,Karthik Reddy,BJP,501116
Karnataka,2014,Kiran Rao,AITC,498701
Bihar,2019,Neha Kulkarni,INC,477004
Telangana,2014,Deepak Chawla,INC,149164
Telangana,2014,Pooja Desai,Independent,121885
Haryana,2024,Kiran Rao,INC,517548
Tamil Nadu,2014,Simran Kaur,BJP,646449
Mizoram,2014,Karthik Reddy,BJP,566621
Haryana,2019,Rajesh Nair,INC,682539
Arunachal Pradesh,2014,Alok Verma,SP,592972
Gujarat,2024,Rajesh Nair,Independent,518515
Manipur,2024,Anita Menon,Independent,391704
Tamil Nadu,2014,Vikram Gupta,Independent,126928
Andhra Pradesh,2014,Rajiv Das,SP,235947
Himachal Pradesh,2019,Ramesh Gowda,AITC,634217
Karnataka,2019,Simran Kaur,Independent,539775
Telangana,2014,Anita Menon,SP,141184
Tripura,2014,Vinod Joshi,Independent,111737
Andhra Pradesh,2024,Prakash Yadav,BJP,643053
Manipur,2024,Pooja Desai,Independent,312502
Punjab,2024,Amit Sharma,AITC,435764
Sikkim,2019,Meena Chopra,SP,629860
Tamil Nadu,2014,Prakash Yadav,BJP,262124
Tamil Nadu,2014,Sonal Tiwari,Independent,266631
Gujarat,2014,Vikram Gupta,INC,93162
Kerala,2019,Meena Chopra,SP,568217
Haryana,2014,Alok Verma,SP,655357
Uttar Pradesh,2024,Rajiv Das,Independent,133624
Nagaland,2024,Vikram Gupta,Independent,661055
Delhi,2024,Vinod Joshi,SP,495947
Sikkim,2024,Pallavi Sharma,INC,113247
Andhra Pradesh,2024,Amit Sharma,INC,452555
Chhattisgarh,2014,Ramesh Gowda,AITC,684669
Nagaland,2024,Karthik Reddy,BJP,157981
Tripura,2019,Pallavi Sharma,Independent,75713
Kerala,2019,Neha Kulkarni,Independent,619391
Bihar,2024,Vikram Gupta,BJP,227989
Arunachal Pradesh,2024,Anita Menon,BJP,573260
Arunachal Pradesh,2014,Meena Chopra,BJP,445881
Delhi,2024,Vinod Joshi,SP,124244
Arunachal Pradesh,2019,Pallavi Sharma,AITC,661261
Rajasthan,2024,Ramesh Gowda,AITC,643230
Assam,2024,Rajesh Nair,SP,566768
Odisha,2024,Suresh Patel,AITC,118878
Himachal Pradesh,2014,Pooja Desai,BJP,294404
Punjab,2019,Prakash Yadav,Independent,570725
Punjab,2014,Manoj Singh,INC,595314
Rajasthan,2024,Ramesh Gowda,Independent,373854
Arunachal Pradesh,2014,Ramesh Gowda,INC,643855
Mizoram,2024,Alok Verma,BJP,95168
Nagaland,2019,Prakash Yadav,INC,300120
Telangana,2024,Pallavi Sharma,Independent,236723
Sikkim,2014,Manoj Singh,AITC,281446
Maharashtra,2014,Anita Menon,AITC,169524
Maharashtra,2019,Amit Sharma,Independent,540897
Himachal Pradesh,2024,Suresh Patel,BJP,527656
Manipur,2019,Simran Kaur,INC,292486
Tamil Nadu,2024,Amit Sharma,AITC,413246
Rajasthan,2019,Ramesh Gowda,BJP,491088
Rajasthan,2014,Rajesh Nair,BJP,672802
Meghalaya,2024,Sonal Tiwari,SP,509231
Tamil Nadu,2014,Simran Kaur,Independent,60718
Manipur,2019,Alok Verma,INC,588463
Jharkhand,2019,Anita Menon,SP,636076
Punjab,2024,Sonal Tiwari,INC,384912
Meghalaya,2019,Simran Kaur,INC,91518
Uttar Pradesh,2014,Anita Menon,INC,578693
Goa,2014,Pallavi Sharma,SP,549140
Madhya Pradesh,2019,Kiran Rao,BJP,437026
Madhya Pradesh,2024,Amit Sharma,INC,466504
Himachal Pradesh,2014,Vinod Joshi,SP,572646
Punjab,2014,Meena Chopra,BJP,383897
Gujarat,2014,Sonal Tiwari,SP,121470
Uttar Pradesh,2019,Rajiv Das,AITC,475786
Andhra Pradesh,2024,Alok Verma,AITC,183456
Uttar Pradesh,2019,Suresh Patel,AITC,448440
Maharashtra,2014,Kiran Rao,INC,692273
Delhi,2024,Vinod Joshi,INC,124381
Uttarakhand,2019,Karthik Reddy,BJP,286012
Uttar Pradesh,2014,Alok Verma,BJP,434177
Tripura,2014,Deepak Chawla,AITC,182652
Himachal Pradesh,2014,Deepak Chawla,SP,195416
Telangana,2024,Alok Verma,BJP,382701
Arunachal Pradesh,2019,Prakash Yadav,BJP,369898
Chhattisgarh,2019,Pooja Desai,SP,675575
Karnataka,2019,Pooja Desai,BJP,65464
Goa,2014,Rajesh Nair,AITC,626515
Jharkhand,2024,Rajesh Nair,INC,407805
Chhattisgarh,2014,Alok Verma,BJP,277963
Jharkhand,2014,Neha Kulkarni,AITC,94174
Himachal Pradesh,2014,Rajiv Das,INC,137441
Jharkhand,2014,Rajiv Das,INC,281691
Punjab,2019,Rajesh Nair,BJP,390519
Telangana,2024,Meena Chopra,AITC,114880
Karnataka,2024,Meena Chopra,BJP,515441
Tamil Nadu,2014,Deepak Chawla,INC,360513
Madhya Pradesh,2019,Anita Menon,SP,387860
Arunachal Pradesh,2024,Alok Verma,INC,239368
Goa,2019,Vikram Gupta,Independent,548851
Uttar Pradesh,2024,Amit Sharma,INC,510362
Punjab,2014,Anita Menon,SP,627859
Telangana,2019,Alok Verma,SP,467373
Kerala,2024,Anita Menon,Independent,328720
Meghalaya,2024,Rajesh Nair,Independent,104249
West Bengal,2014,Anita Menon,Independent,577856
Meghalaya,2019,Karthik Reddy,INC,163788
Telangana,2019,Ramesh Gowda,INC,348413
Chhattisgarh,2019,Ramesh Gowda,Independent,61523
Telangana,2019,Ramesh Gowda,SP,647653
Telangana,2019,Neha Kulkarni,INC,586479
Chhattisgarh,2024,Sonal Tiwari,AITC,658243
Madhya Pradesh,2019,Kiran Rao,BJP,606108
Tripura,2024,Suresh Patel,AITC,397399
Maharashtra,2024,Rajiv Das,BJP,235941
Telangana,2024,Simran Kaur,Independent,245489
Manipur,2024,Amit Sharma,Independent,519136
Gujarat,2019,Anita Menon,Independent,179726
Sikkim,2024,Neha Kulkarni,SP,148869
Himachal Pradesh,2014,Simran Kaur,INC,671711
Odisha,2024,Prakash Yadav,INC,529937
Andhra Pradesh,2024,Meena Chopra,INC,406848
Arunachal Pradesh,2014,Pallavi Sharma,Independent,341424
Haryana,2019,Alok Verma,BJP,94769
Meghalaya,2019,Rajesh Nair,SP,137895
Madhya Pradesh,2024,Vikram Gupta,SP,567571
Karnataka,2014,Anita Menon,INC,339321
Tripura,2019,Kiran Rao,BJP,451010
Arunachal Pradesh,2024,Kiran Rao,Independent,80218
Meghalaya,2019,Kiran Rao,Independent,471797
Odisha,2019,Rajiv Das,INC,56658
Meghalaya,2014,Deepak Chawla,SP,335369
West Bengal,2019,Rajesh Nair,SP,320787
Goa,2014,Rajiv Das,INC,681924
Madhya Pradesh,2024,Sonal Tiwari,SP,131126
Nagaland,2024,Ramesh Gowda,INC,679638
Himachal Pradesh,2024,Rajesh Nair,SP,590898
Jharkhand,2019,Deepak Chawla,SP,163837
West Bengal,2019,Deepak Chawla,SP,511592
Nagaland,2024,Alok Verma,SP,476681
West Bengal,2024,Meena Chopra,Independent,439167
Tamil Nadu,2014,Prakash Yadav,SP,569945
Rajasthan,2019,Rajiv Das,SP,560061
Telangana,2024,Vinod Joshi,SP,87852
Meghalaya,2014,Amit Sharma,INC,589151
Odisha,2019,Simran Kaur,BJP,371386
Rajasthan,2024,Neha Kulkarni,AITC,285208
Bihar,2019,Vikram Gupta,SP,476347
Haryana,2019,Rajiv Das,BJP,584101
Mizoram,2014,Manoj Singh,BJP,324303
Uttar Pradesh,2024,Suresh Patel,SP,133983
Delhi,2019,Manoj Singh,INC,559479
Chhattisgarh,2014,Anita Menon,INC,239206
Haryana,2019,Ramesh Gowda,INC,625088
Telangana,2014,Meena Chopra,INC,367731
Maharashtra,2019,Neha Kulkarni,SP,492047
Uttar Pradesh,2014,Manoj Singh,SP,347830
Manipur,2014,Manoj Singh,AITC,363671
Chhattisgarh,2019,Vikram Gupta,INC,599115
Andhra Pradesh,2019,Vikram Gupta,SP,350378
Manipur,2014,Neha Kulkarni,SP,212735
Meghalaya,2024,Simran Kaur,BJP,122090
Punjab,2019,Vikram Gupta,INC,56767
Himachal Pradesh,2024,Vikram Gupta,AITC,284954
Punjab,2014,Pallavi Sharma,Independent,249549
Maharashtra,2019,Amit Sharma,INC,388253
Arunachal Pradesh,2014,Alok Verma,BJP,658019
Sikkim,2024,Pooja Desai,BJP,346363
Madhya Pradesh,2014,Deepak Chawla,Independent,516817
Sikkim,2019,Sonal Tiwari,Independent,599094
Andhra Pradesh,2019,Neha Kulkarni,INC,161258
Haryana,2014,Meena Chopra,BJP,346098
Uttar Pradesh,2014,Deepak Chawla,SP,388585
Assam,2014,Vikram Gupta,INC,325643
Jharkhand,2024,Vinod Joshi,SP,89090
Haryana,2019,Anita Menon,INC,482308
Arunachal Pradesh,2014,Prakash Yadav,INC,107617
Tamil Nadu,2019,Vinod Joshi,BJP,126495
Chhattisgarh,2014,Amit Sharma,Independent,635597
Chhattisgarh,2019,Rajesh Nair,BJP,421952
Assam,2019,Karthik Reddy,AITC,679492
Goa,2024,Rajesh Nair,AITC,297572
Tripura,2024,Simran Kaur,Independent,401718
Haryana,2019,Manoj Singh,Independent,586556
Gujarat,2014,Manoj Singh,Independent,63736
Jharkhand,2014,Rajiv Das,AITC,187825
Kerala,2024,Pallavi Sharma,BJP,553495
Uttar Pradesh,2019,Meena Chopra,BJP,208547
Rajasthan,2014,Alok Verma,SP,185913
Punjab,2014,Alok Verma,Independent,181408
Karnataka,2019,Amit Sharma,AITC,382228
